outcome,month,mmwr_week,age_group,vaccination_status,vaccinated_with_outcome,vaccinated_population,unvaccinated_with_outcome,unvaccinated_population,crude_vax_ir,crude_unvax_ir,crude_irr,age_adj_vax_ir,age_adj_unvax_ir,age_adj_irr,monthly_age_adj_vax_ir,monthly_age_adj_unvax_ir,monthly_age_adj_irr,continuity_correction
case,OCT 2021,202140,12-17,vaccinated,1997,3994831,20612,5255463,49.98959906,392.2014102,7.845660249,,,,,,,0
case,OCT 2021,202140,12-17,vax with updated booster,,0,20612,5255463,,392.2014102,,,,,,,,0
case,OCT 2021,202140,18-29,vaccinated,7993,9585145,34330,10199249,83.38945316,336.59341,4.036402653,,,,,,,0
case,OCT 2021,202140,18-29,vax with updated booster,,0,34330,10199249,,336.59341,,,,,,,,0
case,OCT 2021,202140,30-49,vaccinated,21683,18563065,52373,12162212,116.8072191,430.6206799,3.686593032,,,,,,,0
case,OCT 2021,202140,30-49,vax with updated booster,,0,52373,12162212,,430.6206799,,,,,,,,0
case,OCT 2021,202140,50-64,vaccinated,16078,16054346,25127,6158202,100.1473371,408.0249397,4.074246523,,,,,,,0
case,OCT 2021,202140,50-64,vax with updated booster,,0,25127,6158202,,408.0249397,,,,,,,,0
case,OCT 2021,202140,65-79,vaccinated,12182,12284532,11060,1828084.4,99.16535689,605.0048893,6.10097022,,,,,,,1
case,OCT 2021,202140,65-79,vax with updated booster,,0,11060,1828084.4,,605.0048893,,,,,,,,1
case,OCT 2021,202140,80+,vaccinated,3868,3450594,2574,699465,112.0966419,367.9955394,3.28284178,,,,,,,0
case,OCT 2021,202140,80+,vax with updated booster,,0,2574,699465,,367.9955394,,,,,,,,0
case,OCT 2021,202140,all_ages,vaccinated,63801,63932513,146076,36302675.4,,,,98.22096021,421.4264092,4.290595494,88.6358904,363.9945326,4.106626909,1
case,OCT 2021,202140,all_ages,vax with updated booster,,0,146076,36302675.4,,,,,421.4264092,,,363.9945326,,1
case,OCT 2021,202141,12-17,vaccinated,1688,4089001,16546,5202776,41.28147682,318.0225326,7.703758612,,,,,,,0
case,OCT 2021,202141,12-17,vax with updated booster,,0,16546,5202776,,318.0225326,,,,,,,,0
case,OCT 2021,202141,18-29,vaccinated,7216,9737094,28797,10087197,74.10835307,285.480694,3.852206697,,,,,,,0
case,OCT 2021,202141,18-29,vax with updated booster,,0,28797,10087197,,285.480694,,,,,,,,0
case,OCT 2021,202141,30-49,vaccinated,19500,18778887,43857,11993028,103.8400199,365.6874644,3.521642857,,,,,,,0
case,OCT 2021,202141,30-49,vax with updated booster,,0,43857,11993028,,365.6874644,,,,,,,,0
case,OCT 2021,202141,50-64,vaccinated,14616,16152905,21601,6069898,90.48527184,355.8708894,3.932915072,,,,,,,0
case,OCT 2021,202141,50-64,vax with updated booster,,0,21601,6069898,,355.8708894,,,,,,,,0
case,OCT 2021,202141,65-79,vaccinated,10572,12271466,9858,1763432.1,86.151076,559.0235088,6.488874367,,,,,,,1
case,OCT 2021,202141,65-79,vax with updated booster,,0,9858,1763432.1,,559.0235088,,,,,,,,1
case,OCT 2021,202141,80+,vaccinated,3500,3441821,2416,679073,101.6903552,355.7791283,3.498651643,,,,,,,0
case,OCT 2021,202141,80+,vax with updated booster,,0,2416,679073,,355.7791283,,,,,,,,0
case,OCT 2021,202141,all_ages,vaccinated,57092,64471174,123075,35795404.1,,,,87.10491695,364.7706985,4.187716507,88.6358904,363.9945326,4.106626909,1
case,OCT 2021,202141,all_ages,vax with updated booster,,0,123075,35795404.1,,,,,364.7706985,,,363.9945326,,1
case,OCT 2021,202142,12-17,vaccinated,1791,4169041,14173,5156104,42.95951995,274.8780862,6.398537195,,,,,,,0
case,OCT 2021,202142,12-17,vax with updated booster,,0,14173,5156104,,274.8780862,,,,,,,,0
case,OCT 2021,202142,18-29,vaccinated,6758,9872551,25939,9984606,68.45241924,259.7899206,3.795189761,,,,,,,0
