Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,646266987,8291.277705089884,3307314,42.431161398519095,410104,6636278,85.14008131778282,9411,0.12073835744699873,988,
United States of America,Americas,98072469,29628.907,448634,135.538,0,1074367,324.58,2934,0.886,0
India,South-East Asia,44675247,3237.326,1298,0.094,152,530658,38.453,20,0.001,0
France,Europe,37530038,57703.579,426405,655.611,97037,156380,240.439,644,0.99,138
Germany,Europe,36860998,44321.818,192665,231.661,35907,159364,191.62,114,0.137,13
Brazil,Americas,35643770,16768.85,247579,116.475,66232,691015,325.093,786,0.37,261
Republic of Korea,Western Pacific,27925572,54468.531,442004,862.124,84571,31174,60.805,327,0.638,46
Japan,Western Pacific,26309153,20801.62,754420,596.49,0,52043,41.148,1224,0.968,0
Italy,Europe,24709404,41429.892,66524,111.54,0,182419,305.859,197,0.33,0
The United Kingdom,Europe,24053576,35432.305,6890,10.149,0,197723,291.257,1,0.001,0
Russian Federation,Europe,21685037,14859.436,49273,33.764,7532,392775,269.145,375,0.257,55
Türkiye,Europe,16919638,20061.448,0,0,0,101203,119.995,0,0,0
Spain,Europe,13632635,28801.779,17828,37.665,0,116422,245.966,314,0.663,0
Viet Nam,Western Pacific,11521022,11836.029,2511,2.58,0,43178,44.359,0,0,0
Australia,Western Pacific,10827144,42459.581,0,0,0,15528,60.894,0,0,0
China,Western Pacific,9962694,677.141,147807,10.046,22804,30984,2.106,379,0.026,49
Argentina,Americas,9766975,21610.372,27119,60.003,0,130041,287.728,7,0.015,0
Netherlands,Europe,8553219,49135.012,5810,33.376,1162,22940,131.782,13,0.075,2
Iran (Islamic Republic of),Eastern Mediterranean,7560247,9001.05,289,0.344,30,144658,172.226,10,0.012,0
Mexico,Americas,7164602,5556.852,10726,8.319,0,330695,256.486,23,0.018,0
Indonesia,South-East Asia,6704268,2451.075,14736,5.387,2136,160311,58.61,199,0.073,24
Poland,Europe,6359556,16754.131,3474,9.152,770,118395,311.909,45,0.119,6
Colombia,Americas,6323357,12427.275,5336,10.487,0,141943,278.96,32,0.063,0
Austria,Europe,5622037,63161.404,33535,376.753,5113,21272,238.983,16,0.18,1
Portugal,Europe,5536455,53773.348,0,0,0,25345,246.166,0,0,0
Greece,Europe,5500737,51319.715,51824,483.498,51824,34614,322.935,130,1.213,130
Ukraine,Europe,5350380,12233.982,4286,9.8,4286,110696,253.113,56,0.128,56
Malaysia,Western Pacific,5012483,15486.879,8926,27.578,1040,36778,113.632,46,0.142,9
Chile,Americas,4963204,25963.339,21977,114.965,2053,62749,328.25,152,0.795,4
Israel,Europe,4742826,54795.258,10813,124.926,1727,11934,137.877,23,0.266,0
Thailand,South-East Asia,4715489,6755.717,3961,5.675,0,33392,47.84,107,0.153,0
Belgium,Europe,4654473,40394.856,7644,66.34,0,33133,287.552,37,0.321,0
Czechia,Europe,4570189,42736.255,6069,56.752,1224,41979,392.549,41,0.383,2
Canada,Americas,4440839,11766.257,17376,46.039,0,48353,128.114,242,0.641,0
Peru,Americas,4362281,13230.318,57536,174.5,3072,217679,660.196,160,0.485,22
Switzerland,Europe,4351866,50283.744,14731,170.21,2012,13781,159.233,12,0.139,0
Philippines,Western Pacific,4050866,3696.684,7903,7.212,791,64921,59.245,151,0.138,19
South Africa,Africa,4045262,6820.69,2350,3.962,0,102550,172.909,86,0.145,0
Denmark,Europe,3368415,57849.083,8259,141.84,1074,7608,130.66,51,0.876,12
Romania,Europe,3298738,17066.406,0,0,0,67289,348.127,0,0,0
Sweden,Europe,2640369,25566.17,3668,35.517,0,21234,205.605,2,0.019,0
Iraq,Eastern Mediterranean,2463296,6124.175,0,0,0,25363,63.057,0,0,0
Serbia,Europe,2431472,35102.866,4624,66.756,816,17449,251.909,31,0.448,8
Singapore,Western Pacific,2183605,37324.399,8616,147.273,1817,1708,29.195,2,0.034,1
Hungary,Europe,2176249,22275.891,5193,53.155,5193,48380,495.213,43,0.44,43
Bangladesh,South-East Asia,2036866,1236.793,149,0.09,21,29437,17.874,1,0.001,0
New Zealand,Western Pacific,1988259,41231.085,37483,777.295,0,2257,46.804,22,0.456,0
Slovakia,Europe,1857540,34034.137,841,15.409,167,20773,380.606,26,0.476,3
Georgia,Europe,1808085,45324.785,512,12.835,0,16895,423.521,4,0.1,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1684717,33935.691,2308,46.491,518,8270,166.585,39,0.786,39
Pakistan,Eastern Mediterranean,1575424,713.209,70,0.032,0,30635,13.869,3,0.001,0
Kazakhstan,Europe,1489651,7933.505,1400,7.456,235,19056,101.487,2,0.011,0
Norway,Europe,1471342,27411.645,1146,21.35,97,4498,83.799,0,0,0
Finland,Europe,1417909,25662.155,1170,21.175,0,7572,137.043,0,0,0
Bulgaria,Europe,1289474,18549.627,1278,18.385,219,38072,547.682,19,0.273,5
Lithuania,Europe,1281955,45880.949,2836,101.5,518,9450,338.214,10,0.358,3
Slovenia,Europe,1281705,61154.103,12521,597.416,2361,8631,411.812,8,0.382,0
Morocco,Eastern Mediterranean,1270318,3441.611,748,2.027,139,16289,44.131,3,0.008,1
Croatia,Europe,1257412,30984.743,2257,55.616,313,17427,429.431,63,1.552,12
Lebanon,Eastern Mediterranean,1221273,17892.943,442,6.476,47,10741,157.367,1,0.015,0
Guatemala,Americas,1172149,6542.628,11786,65.786,637,19964,111.434,7,0.039,1
Costa Rica,Americas,1152466,22623.465,3552,69.727,0,9051,177.676,5,0.098,0
Tunisia,Eastern Mediterranean,1147282,9707.412,137,1.159,137,29272,247.677,3,0.025,3
Bolivia (Plurinational State of),Americas,1120512,9599.16,7515,64.379,1593,22253,190.636,2,0.017,0
Cuba,Americas,1111569,9813.778,117,1.033,5,8530,75.309,0,0,0
United Arab Emirates,Eastern Mediterranean,1045708,10572.957,774,7.826,92,2348,23.74,0,0,0
Puerto Rico,Americas,1028926,35965.707,9457,330.566,230,5449,190.468,42,1.468,7
Ecuador,Americas,1024914,5809.164,6735,38.174,0,35913,203.553,6,0.034,0
Panama,Americas,1015970,23546.347,6718,155.698,0,8543,197.994,10,0.232,0
Mongolia,Western Pacific,1006929,30715.068,13019,397.128,0,2135,65.125,0,0,0
Nepal,South-East Asia,1000942,3435.318,21,0.072,1,12019,41.25,0,0,0
Uruguay,Americas,998047,28731.277,2645,76.143,0,7548,217.288,7,0.202,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Latvia,Europe,969495,50820.763,2682,140.59,503,6113,320.442,6,0.315,0
Saudi Arabia,Eastern Mediterranean,826312,2373.514,376,1.08,53,9487,27.251,11,0.032,1
Azerbaijan,Europe,824943,8136.195,369,3.639,64,9989,98.519,5,0.049,2
Paraguay,Americas,719226,10083.732,724,10.151,0,19646,275.442,16,0.224,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13784.962,192,3.764,0,5708,111.891,0,0,0
Bahrain,Eastern Mediterranean,696614,40939.365,0,0,0,1536,90.269,0,0,0
Sri Lanka,South-East Asia,671770,3137.17,51,0.238,9,16809,78.498,3,0.014,1
Kuwait,Eastern Mediterranean,662747,15518.932,0,0,0,2570,60.179,0,0,0
Dominican Republic,Americas,654759,6035.808,2699,24.88,0,4384,40.413,0,0,0
Myanmar,South-East Asia,633508,1164.327,139,0.255,33,19488,35.817,0,0,0
Cyprus,Europe,622102,70056.137,3854,434.007,0,1242,139.864,5,0.563,0
Estonia,Europe,610473,45935.593,540,40.633,0,2799,210.613,0,0,0
Republic of Moldova,Europe,595652,14765.926,343,8.503,0,11922,295.541,2,0.05,0
Venezuela (Bolivarian Republic of),Americas,548455,1928.739,564,1.983,48,5830,20.502,1,0.004,0
Egypt,Eastern Mediterranean,515475,503.716,19,0.019,0,24800,24.234,1,0.001,0
Libya,Eastern Mediterranean,507100,7379.98,0,0,0,6437,93.68,0,0,0
Ethiopia,Africa,495284,430.818,427,0.371,0,7572,6.586,0,0,0
Qatar,Eastern Mediterranean,485064,16836.344,3160,109.682,406,685,23.776,0,0,0
Réunion,Africa,482906,53937.175,1366,152.573,0,905,101.082,2,0.223,0
Honduras,Americas,460714,4651.512,1793,18.103,0,11054,111.605,3,0.03,0
Armenia,Europe,445828,15045.319,0,0,0,8712,294.003,0,0,0
Bosnia and Herzegovina,Europe,400721,12214.069,109,3.322,26,16217,494.298,10,0.305,2
Oman,Eastern Mediterranean,399119,7815.708,0,0,0,4628,90.627,0,0,0
North Macedonia,Europe,345197,16569.085,130,6.24,0,9599,460.742,8,0.384,0
Kenya,Africa,342107,636.226,183,0.34,0,5684,10.571,0,0,0
Zambia,Africa,333746,1815.42,0,0,0,4019,21.861,0,0,0
Albania,Europe,332453,11552.332,112,3.892,32,3594,124.887,0,0,0
Botswana,Africa,327021,13906.159,0,0,0,2785,118.429,0,0,0
Luxembourg,Europe,309432,49421.506,1370,218.812,179,1171,187.028,3,0.479,1
Mauritius,Africa,287999,22645.561,1847,145.231,0,1038,81.619,0,0,0
Montenegro,Europe,284168,45245.215,277,44.104,39,2790,444.224,0,0,0
Kosovo[1],Europe,272176,15157.385,5,0.278,0,3192,177.761,0,0,0
Algeria,Africa,271147,618.336,25,0.057,0,6881,15.692,0,0,0
Nigeria,Africa,266381,129.224,98,0.048,0,3155,1.531,0,0,0
Brunei Darussalam,Western Pacific,264490,60457.759,0,0,0,145,33.144,0,0,0
Zimbabwe,Africa,259356,1744.986,0,0,0,5622,37.826,0,0,0
Uzbekistan,Europe,248369,742.082,788,2.354,101,1637,4.891,0,0,0
Mozambique,Africa,230816,738.483,0,0,0,2229,7.132,0,0,0
Martinique,Americas,224826,59911.263,0,0,0,1076,286.731,0,0,0
Lao People's Democratic Republic,Western Pacific,217289,2986.56,370,5.086,52,757,10.405,0,0,0
Iceland,Europe,207771,57058.94,256,70.304,85,229,62.889,0,0,0
Afghanistan,Eastern Mediterranean,206743,531.086,412,1.058,41,7843,20.147,8,0.021,3
Kyrgyzstan,Europe,206553,3165.956,10,0.153,0,2991,45.845,0,0,0
El Salvador,Americas,201785,3110.987,0,0,0,4230,65.215,0,0,0
Guadeloupe,Americas,198608,49636.613,0,0,0,997,249.173,0,0,0
Trinidad and Tobago,Americas,185708,13269.71,180,12.862,180,4268,304.969,0,0,0
Maldives,South-East Asia,185651,34345.215,19,3.515,0,311,57.535,0,0,0
Ghana,Africa,171023,550.392,0,0,0,1461,4.702,0,0,0
Namibia,Africa,169929,6687.735,0,0,0,4080,160.573,0,0,0
Uganda,Africa,169715,371.035,0,0,0,3630,7.936,0,0,0
Jamaica,Americas,152669,5155.704,45,1.52,0,3433,115.934,0,0,0
Cambodia,Western Pacific,138302,827.216,126,0.754,26,3056,18.279,0,0,0
Rwanda,Africa,132811,1025.392,0,0,0,1467,11.326,0,0,0
Cameroon,Africa,123993,467.09,0,0,0,1965,7.402,0,0,0
Malta,Europe,116028,22548.799,110,21.377,28,811,157.609,2,0.389,2
Angola,Africa,104946,319.312,89,0.271,0,1928,5.866,2,0.006,0
Barbados,Americas,104416,36334.406,0,0,0,567,197.303,0,0,0
French Guiana,Americas,97097,32508.487,708,237.041,0,411,137.605,0,0,0
Democratic Republic of the Congo,Africa,94713,105.752,0,0,0,1457,1.627,0,0,0
Senegal,Africa,88891,530.885,3,0.018,0,1968,11.754,0,0,0
